date,y_train_xgboost,y_train_pred_xgboost,y_dev_xgboost,y_dev_pred_xgboost,y_test_xgboost,y_test_pred_xgboost,y_train_arima,y_train_pred_arima,y_dev_arima,y_dev_pred_arima,y_test_arima,y_test_pred_arima
2015-04-04,114.0,124.95301,,,,,114.0,124.95301,,,,
2015-04-05,80.0,95.7941,,,,,80.0,95.7941,,,,
2015-04-06,116.0,122.98441,,,,,116.0,122.98441,,,,
2015-04-07,177.0,155.56241,,,,,177.0,155.56241,,,,
2015-04-08,137.0,146.71231,,,,,137.0,146.71231,,,,
2015-04-09,150.0,131.98004,,,,,150.0,131.98004,,,,
2015-04-10,190.0,175.33434,,,,,190.0,175.33434,,,,
2015-04-11,132.0,133.6623,,,,,132.0,133.6623,,,,
2015-04-12,156.0,146.5008,,,,,156.0,146.5008,,,,
2015-04-13,145.0,144.0747,,,,,145.0,144.0747,,,,
2015-04-14,155.0,152.50687,,,,,155.0,152.50687,,,,
2015-04-15,150.0,151.59857,,,,,150.0,151.59857,,,,
2015-04-16,153.0,140.98878,,,,,153.0,140.98878,,,,
2015-04-17,179.0,171.13,,,,,179.0,171.13,,,,
2015-04-18,129.0,129.66936,,,,,129.0,129.66936,,,,
2015-04-19,163.0,145.92694,,,,,163.0,145.92694,,,,
2015-04-20,160.0,147.95526,,,,,160.0,147.95526,,,,
2015-04-21,153.0,158.70903,,,,,153.0,158.70903,,,,
2015-04-22,154.0,147.23865,,,,,154.0,147.23865,,,,
2015-04-23,132.0,136.88426,,,,,132.0,136.88426,,,,
2015-04-24,153.0,156.81116,,,,,153.0,156.81116,,,,
2015-04-25,147.0,133.48174,,,,,147.0,133.48174,,,,
2015-04-26,135.0,135.92032,,,,,135.0,135.92032,,,,
2015-04-27,169.0,148.79784,,,,,169.0,148.79784,,,,
2015-04-28,153.0,153.17079,,,,,153.0,153.17079,,,,
2015-04-29,148.0,148.14774,,,,,148.0,148.14774,,,,
2015-04-30,132.0,137.81903,,,,,132.0,137.81903,,,,
2015-05-01,155.0,152.49855,,,,,155.0,152.49855,,,,
2015-05-02,131.0,132.68765,,,,,131.0,132.68765,,,,
2015-05-03,129.0,129.55054,,,,,129.0,129.55054,,,,
2015-05-04,177.0,160.1849,,,,,177.0,160.1849,,,,
2015-05-05,122.0,144.33292,,,,,122.0,144.33292,,,,
2015-05-06,134.0,142.18176,,,,,134.0,142.18176,,,,
2015-05-07,126.0,137.81013,,,,,126.0,137.81013,,,,
2015-05-08,177.0,167.9719,,,,,177.0,167.9719,,,,
2015-05-09,143.0,133.81369,,,,,143.0,133.81369,,,,
2015-05-10,152.0,148.81252,,,,,152.0,148.81252,,,,
